,location,total_sqft,bath,price,bhk
0,5th Block Hbr Layout,1206.0,2.0,56.0,2
1,5th Block Hbr Layout,1270.0,2.0,70.0,3
2,5th Block Hbr Layout,1312.0,2.0,69.0,2
3,5th Phase JP Nagar,1256.0,2.0,62.8,2
4,5th Phase JP Nagar,1207.0,2.0,63.0,2
5,5th Phase JP Nagar,600.0,1.0,30.0,1
6,5th Phase JP Nagar,1256.0,2.0,62.8,2
7,5th Phase JP Nagar,1000.0,2.0,48.0,2
10,5th Phase JP Nagar,1190.0,2.0,61.8,2
11,5th Phase JP Nagar,1080.0,2.0,53.0,2
12,5th Phase JP Nagar,1041.0,2.0,54.0,2
13,5th Phase JP Nagar,812.0,2.0,42.0,2
15,6th Phase JP Nagar,1213.0,2.0,63.0,2
16,6th Phase JP Nagar,1216.0,2.0,60.0,2
17,7th Phase JP Nagar,1050.0,2.0,57.0,3
18,7th Phase JP Nagar,1250.0,3.0,65.0,3
20,7th Phase JP Nagar,1050.0,2.0,50.0,2
21,7th Phase JP Nagar,850.0,2.0,42.0,2
22,7th Phase JP Nagar,1236.0,2.0,61.33,2
23,7th Phase JP Nagar,1187.0,2.0,59.0,2
24,7th Phase JP Nagar,1200.0,2.0,62.5,2
25,7th Phase JP Nagar,1515.0,2.0,76.0,3
26,7th Phase JP Nagar,1075.0,2.0,57.0,3
27,7th Phase JP Nagar,990.0,2.0,50.0,2
28,7th Phase JP Nagar,1680.0,2.0,92.0,3
29,7th Phase JP Nagar,1140.0,2.0,57.0,2
30,8th Phase JP Nagar,1455.0,3.0,73.31,3
31,8th Phase JP Nagar,909.0,2.0,40.9,2
32,8th Phase JP Nagar,1298.0,2.0,59.0,2
33,8th Phase JP Nagar,1245.0,2.0,59.0,2
34,8th Phase JP Nagar,3300.0,3.0,165.0,3
35,8th Phase JP Nagar,1046.0,2.0,48.0,2
36,9th Phase JP Nagar,1005.0,2.0,50.0,2
37,9th Phase JP Nagar,1164.0,2.0,56.0,2
38,9th Phase JP Nagar,1466.0,2.0,71.0,2
40,9th Phase JP Nagar,1073.0,2.0,52.36,2
41,9th Phase JP Nagar,1719.3,2.0,88.0,3
43,9th Phase JP Nagar,890.0,2.0,45.0,2
44,9th Phase JP Nagar,1331.95,2.0,69.0,2
45,AECS Layout,1080.0,2.0,55.0,2
46,Akshaya Nagar,1070.0,2.0,54.0,2
47,Akshaya Nagar,1662.0,3.0,85.1,3
48,Akshaya Nagar,1410.0,2.0,75.0,3
49,Akshaya Nagar,1662.0,3.0,85.0,3
50,Akshaya Nagar,1662.0,3.0,85.5,3
51,Akshaya Nagar,1430.0,2.0,75.0,3
52,Akshaya Nagar,1419.0,2.0,73.0,3
53,Akshaya Nagar,1690.0,3.0,85.0,3
54,Akshaya Nagar,1897.0,4.0,93.0,3
55,Akshaya Nagar,1884.0,3.0,98.0,3
56,Akshaya Nagar,1314.0,2.0,68.8,2
57,Akshaya Nagar,1690.0,3.0,85.0,3
58,Akshaya Nagar,1126.0,2.0,55.0,2
59,Akshaya Nagar,1662.0,3.0,90.0,3
60,Akshaya Nagar,1420.0,2.0,75.0,3
61,Akshaya Nagar,1890.0,4.0,100.0,3
62,Akshaya Nagar,1690.0,3.0,85.0,3
63,Akshaya Nagar,1820.0,4.0,95.0,3
64,Akshaya Nagar,1896.0,3.0,102.0,3
65,Akshaya Nagar,1300.0,2.0,66.0,2
66,Akshaya Nagar,1421.0,2.0,73.0,3
67,Akshaya Nagar,1893.0,4.0,95.0,3
68,Akshaya Nagar,900.0,2.0,45.0,2
69,Ambalipura,3500.0,3.0,198.0,3
70,Ambalipura,1817.0,3.0,102.0,3
71,Ambedkar Nagar,3565.0,4.0,255.0,4
72,Amruthahalli,900.0,2.0,40.0,2
73,Amruthahalli,1200.0,2.0,55.0,2
74,Amruthahalli,924.0,2.0,45.0,2
75,Amruthahalli,1200.0,2.0,55.0,2
76,Amruthahalli,1200.0,2.0,55.0,2
77,Anandapura,1200.0,2.0,58.0,2
78,Anandapura,1200.0,2.0,58.0,2
79,Anandapura,1415.0,2.0,74.0,3
80,Anekal,351.0,1.0,16.0,1
81,Anekal,614.0,1.0,28.0,2
82,Anekal,1140.0,2.0,52.0,2
83,Ardendale,1750.0,3.0,100.0,3
84,Ardendale,3198.0,4.0,200.0,4
85,Ardendale,1750.0,3.0,100.0,3
86,Ardendale,3200.0,4.0,205.0,4
87,Ardendale,1728.0,3.0,95.0,3
88,Ardendale,1732.46,3.0,92.0,3
89,Ardendale,1777.26,3.0,105.0,3
90,Ardendale,1723.0,3.0,95.0,3
91,Ardendale,1777.26,3.0,92.0,3
92,Arekere,1190.0,2.0,55.0,2
93,Arekere,600.0,1.0,28.0,1
94,Arekere,2072.0,3.0,108.0,3
95,Arekere,1100.0,2.0,55.0,2
96,Arekere,1240.0,2.0,60.0,2
97,Arekere,900.0,2.0,44.5,2
98,Attibele,1500.0,3.0,90.0,3
99,BEML Layout,1060.0,2.0,55.0,2
100,BTM 2nd Stage,1070.0,2.0,48.0,2
101,BTM 2nd Stage,1265.0,2.0,55.0,2
102,BTM Layout,3300.0,6.0,165.0,6
103,BTM Layout,1458.0,3.0,79.0,3
104,BTM Layout,1540.0,2.0,78.0,3
